Run ID,Total Time in Environment,Percentage Searched,Percentage Found,Percentage Not Found,Total Mission Time,Number of Recharges,Time in Backtracking,Percentage Recharging,Min Battery,Max Battery,Average Battery,Dead Bots,WPT Summary
1_1_50_1_10_1_1_5_2_5_0.2_5,5000,26.80,0.00,100.00,3000,5,766,25.53,0,58.40000000000013,18.133333333333383,4,Bots Recharged for WPT: 5
1_1_50_10_10_1_1_5_2_5_0.2_5,4720,27.40,10.00,90.00,3000,5,1280,42.67,0,33.60000000000014,10.26666666666672,4,Bots Recharged for WPT: 5
1_1_50_20_10_1_1_5_2_5_0.2_5,5000,28.64,0.00,100.00,3000,16,657,21.90,0,100,39.46078973927499,2,Bots Recharged for WPT: 16
1_1_50_50_10_1_1_5_2_5_0.2_5,5000,26.32,0.00,100.00,3000,3,1074,35.80,0,85.60000000000005,14.266666666666675,5,Bots Recharged for WPT: 3
1_10_1_1_10_1_1_5_2_5_0.2_5,3626,37.84,30.00,70.00,3000,1,1667,55.57,0,0,0.0,6,Bots Recharged for WPT: 1
1_10_1_10_10_1_1_5_2_5_0.2_5,4538,31.52,10.00,90.00,3000,13,1459,48.63,0,85.60000000000005,14.266666666666675,5,Bots Recharged for WPT: 13
1_10_1_20_10_1_1_5_2_5_0.2_5,4586,32.04,10.00,90.00,3000,9,375,12.50,0,0,0.0,6,Bots Recharged for WPT: 9
1_10_1_50_10_1_1_5_2_5_0.2_5,4550,30.52,10.00,90.00,3000,1,900,30.00,0,0,0.0,6,Bots Recharged for WPT: 1
1_10_10_1_10_1_1_5_2_5_0.2_5,4097,31.68,20.00,80.00,3000,5,1447,48.23,0,0,0.0,6,Bots Recharged for WPT: 5
1_10_10_10_10_1_1_5_2_5_0.2_5,4519,31.92,10.00,90.00,3000,4,1671,55.70,0,0,0.0,6,Bots Recharged for WPT: 4
1_10_10_20_10_1_1_5_2_5_0.2_5,4094,34.76,20.00,80.00,3000,8,1370,45.67,0,95.20000000000002,16.728872047795132,4,Bots Recharged for WPT: 8
1_10_10_50_10_1_1_5_2_5_0.2_5,4575,32.24,10.00,90.00,3000,6,953,31.77,0,88.00000000000004,28.800000000000015,4,Bots Recharged for WPT: 6
1_10_20_1_10_1_1_5_2_5_0.2_5,4060,30.72,20.00,80.00,3000,4,855,28.50,0,63.20000000000013,20.933333333333376,4,Bots Recharged for WPT: 4
1_10_20_10_10_1_1_5_2_5_0.2_5,4562,32.56,10.00,90.00,3000,9,951,31.70,0,84.80000000000005,24.933333333333366,4,Bots Recharged for WPT: 9
1_10_20_20_10_1_1_5_2_5_0.2_5,4513,31.36,10.00,90.00,3000,184,467,15.57,0,100,33.733333333333384,3,Bots Recharged for WPT: 184
1_10_20_50_10_1_1_5_2_5_0.2_5,4072,32.56,20.00,80.00,3000,2,1141,38.03,0,63.20000000000013,10.533333333333355,5,Bots Recharged for WPT: 2
1_10_50_1_10_1_1_5_2_5_0.2_5,5000,26.40,0.00,100.00,3000,3,1061,35.37,0,0,0.0,6,Bots Recharged for WPT: 3
1_10_50_10_10_1_1_5_2_5_0.2_5,4924,29.24,20.00,80.00,3000,6,649,21.63,0,18.678796692634283,3.1131327821057138,5,Bots Recharged for WPT: 6
1_10_50_20_10_1_1_5_2_5_0.2_5,4065,24.92,20.00,80.00,3000,1,1598,53.27,0,0,0.0,6,Bots Recharged for WPT: 1
1_10_50_50_10_1_1_5_2_5_0.2_5,4077,27.64,20.00,80.00,3000,14,1364,45.47,0,96.80000000000001,29.200000000000017,4,Bots Recharged for WPT: 14
1_20_1_1_10_1_1_5_2_5_0.2_5,4524,31.88,10.00,90.00,3000,16,840,28.00,0,100,57.33333333333337,2,Bots Recharged for WPT: 16
1_20_1_10_10_1_1_5_2_5_0.2_5,4069,37.60,20.00,80.00,3000,6,1585,52.83,0,0,0.0,6,Bots Recharged for WPT: 6
1_20_1_20_10_1_1_5_2_5_0.2_5,3648,35.96,30.00,70.00,3000,11,910,30.33,0,76.00000000000009,17.866666666666713,4,Bots Recharged for WPT: 11
1_20_1_50_10_1_1_5_2_5_0.2_5,4546,32.20,10.00,90.00,3000,2,543,18.10,0,0,0.0,6,Bots Recharged for WPT: 2
1_20_10_1_10_1_1_5_2_5_0.2_5,5000,28.76,0.00,100.00,3000,1,1632,54.40,0,62.400000000000134,10.400000000000022,5,Bots Recharged for WPT: 1
1_20_10_10_10_1_1_5_2_5_0.2_5,5000,30.32,0.00,100.00,3000,2,1484,49.47,0,0,0.0,6,Bots Recharged for WPT: 2
1_20_10_20_10_1_1_5_2_5_0.2_5,4532,30.44,10.00,90.00,3000,20,897,29.90,0,86.40000000000005,41.333333333333364,3,Bots Recharged for WPT: 20
1_20_10_50_10_1_1_5_2_5_0.2_5,4113,30.44,20.00,80.00,3000,1,1308,43.60,0,0,0.0,6,Bots Recharged for WPT: 1
1_20_20_1_10_1_1_5_2_5_0.2_5,4523,27.12,10.00,90.00,3000,1,900,30.00,0,0,0.0,6,Bots Recharged for WPT: 1
1_20_20_10_10_1_1_5_2_5_0.2_5,5000,28.16,0.00,100.00,3000,1,1277,42.57,0,0,0.0,6,Bots Recharged for WPT: 1
1_20_20_20_10_1_1_5_2_5_0.2_5,3125,28.92,40.00,60.00,3000,1,471,15.70,0,0,0.0,6,Bots Recharged for WPT: 1
1_20_20_50_10_1_1_5_2_5_0.2_5,4081,30.68,20.00,80.00,3000,2,2264,75.47,0,0,0.0,6,Bots Recharged for WPT: 2
1_20_50_1_10_1_1_5_2_5_0.2_5,5000,26.40,0.00,100.00,3000,3,617,20.57,0,0,0.0,6,Bots Recharged for WPT: 3
1_20_50_10_10_1_1_5_2_5_0.2_5,4571,27.88,10.00,90.00,3000,4,1515,50.50,0,0,0.0,6,Bots Recharged for WPT: 4
1_20_50_20_10_1_1_5_2_5_0.2_5,5000,25.28,0.00,100.00,3000,1,1984,66.13,0,0,0.0,6,Bots Recharged for WPT: 1
1_20_50_50_10_1_1_5_2_5_0.2_5,5000,25.40,0.00,100.00,3000,1,1161,38.70,0,0,0.0,6,Bots Recharged for WPT: 1
1_50_1_1_10_1_1_5_2_5_0.2_5,2781,38.20,50.00,50.00,3000,3,953,31.77,0,0,0.0,6,Bots Recharged for WPT: 3
1_50_1_10_10_1_1_5_2_5_0.2_5,4551,32.04,10.00,90.00,3000,2,1242,41.40,0,0,0.0,6,Bots Recharged for WPT: 2
1_50_1_20_10_1_1_5_2_5_0.2_5,4537,33.36,10.00,90.00,3000,6,930,31.00,0,92.80000000000003,28.133333333333354,4,Bots Recharged for WPT: 6
1_50_1_50_10_1_1_5_2_5_0.2_5,3199,30.36,40.00,60.00,3000,2,83,2.77,0,61.60000000000013,29.333333333333403,3,Bots Recharged for WPT: 2
1_50_10_1_10_1_1_5_2_5_0.2_5,4518,29.84,10.00,90.00,3000,7,1464,48.80,0,62.40000000000013,19.466666666666715,4,Bots Recharged for WPT: 7
1_50_10_10_10_1_1_5_2_5_0.2_5,4127,31.16,20.00,80.00,3000,188,128,4.27,0,100,55.20000000000004,2,Bots Recharged for WPT: 188
1_50_10_20_10_1_1_5_2_5_0.2_5,4133,31.36,20.00,80.00,3000,76,753,25.10,0,100,33.06666666666667,4,Bots Recharged for WPT: 76
1_50_10_50_10_1_1_5_2_5_0.2_5,4570,30.36,10.00,90.00,3000,166,550,18.33,0,100,48.93333333333334,3,Bots Recharged for WPT: 166
1_50_20_1_10_1_1_5_2_5_0.2_5,4127,33.48,20.00,80.00,3000,16,956,31.87,0,91.20000000000003,29.866666666666678,4,Bots Recharged for WPT: 16
1_50_20_10_10_1_1_5_2_5_0.2_5,4552,28.92,10.00,90.00,3000,3,1820,60.67,0,0,0.0,6,Bots Recharged for WPT: 3
1_50_20_20_10_1_1_5_2_5_0.2_5,3193,28.56,40.00,60.00,3000,4,1819,60.63,0,0,0.0,6,Bots Recharged for WPT: 4
1_50_20_50_10_1_1_5_2_5_0.2_5,4079,30.16,20.00,80.00,3000,6,1424,47.47,0,0,0.0,6,Bots Recharged for WPT: 6
1_50_50_1_10_1_1_5_2_5_0.2_5,4545,30.80,10.00,90.00,3000,10,809,26.97,0,75.20000000000009,21.200000000000035,4,Bots Recharged for WPT: 10
1_50_50_10_10_1_1_5_2_5_0.2_5,5000,30.48,0.00,100.00,3000,16,1170,39.00,0,0,0.0,6,Bots Recharged for WPT: 16
1_50_50_20_10_1_1_5_2_5_0.2_5,5000,24.80,0.00,100.00,3000,1,819,27.30,0,48.80000000000018,8.133333333333363,5,Bots Recharged for WPT: 1
1_50_50_50_10_1_1_5_2_5_0.2_5,5000,24.40,0.00,100.00,3000,8,460,15.33,0,73.6000000000001,32.13333333333339,3,Bots Recharged for WPT: 8
10_1_1_1_10_1_1_5_2_5_0.2_5,4632,45.28,10.00,90.00,3000,22,1366,45.53,0,90.40000000000003,20.93333333333337,4,Bots Recharged for WPT: 22
10_1_1_10_10_1_1_5_2_5_0.2_5,4570,46.96,10.00,90.00,3000,6,1187,39.57,0,88.80000000000004,22.666666666666703,4,Bots Recharged for WPT: 6
10_1_1_20_10_1_1_5_2_5_0.2_5,4544,37.92,10.00,90.00,3000,8,850,28.33,0,77.60000000000008,32.66666666666672,3,Bots Recharged for WPT: 8
10_1_1_50_10_1_1_5_2_5_0.2_5,4566,38.40,10.00,90.00,3000,2,1974,65.80,0,0,0.0,6,Bots Recharged for WPT: 2
10_1_10_1_10_1_1_5_2_5_0.2_5,4065,42.24,20.00,80.00,3000,2,1378,45.93,0,48.800000000000125,15.066666666666713,4,Bots Recharged for WPT: 2
10_1_10_10_10_1_1_5_2_5_0.2_5,4103,42.20,20.00,80.00,3000,1,615,20.50,0,0,0.0,6,Bots Recharged for WPT: 1
10_1_10_20_10_1_1_5_2_5_0.2_5,4878,46.40,10.00,90.00,3000,5,1215,40.50,0,0,0.0,6,Bots Recharged for WPT: 5
10_1_10_50_10_1_1_5_2_5_0.2_5,4082,40.52,20.00,80.00,3000,12,1101,36.70,0,86.40000000000005,36.26666666666671,3,Bots Recharged for WPT: 12
10_1_20_1_10_1_1_5_2_5_0.2_5,4737,40.64,10.00,90.00,3000,16,1057,35.23,0,100,23.600000000000026,4,Bots Recharged for WPT: 16
10_1_20_10_10_1_1_5_2_5_0.2_5,5000,35.76,0.00,100.00,3000,6,547,18.23,0,82.40000000000006,36.821234935361424,1,Bots Recharged for WPT: 6
10_1_20_20_10_1_1_5_2_5_0.2_5,4519,41.60,10.00,90.00,3000,10,890,29.67,0,50.400000000000155,26.127924351159944,2,Bots Recharged for WPT: 10
10_1_20_50_10_1_1_5_2_5_0.2_5,4014,43.76,30.00,70.00,3000,4,1227,40.90,0,0,0.0,6,Bots Recharged for WPT: 4
10_1_50_1_10_1_1_5_2_5_0.2_5,4520,38.20,10.00,90.00,3000,5,1360,45.33,0,0,0.0,6,Bots Recharged for WPT: 5
10_1_50_10_10_1_1_5_2_5_0.2_5,5000,40.64,0.00,100.00,3000,5,1053,35.10,0,28.691273170229717,4.781878861704953,5,Bots Recharged for WPT: 5
10_1_50_20_10_1_1_5_2_5_0.2_5,4040,34.76,20.00,80.00,3000,10,878,29.27,0,99.2,56.133333333333375,2,Bots Recharged for WPT: 10
10_1_50_50_10_1_1_5_2_5_0.2_5,4522,38.48,10.00,90.00,3000,9,834,27.80,0,77.60000000000008,31.466666666666725,3,Bots Recharged for WPT: 9
10_10_1_1_10_1_1_5_2_5_0.2_5,3433,46.92,40.00,60.00,3000,5,1187,39.57,0,0,0.0,6,Bots Recharged for WPT: 5
10_10_1_10_10_1_1_5_2_5_0.2_5,3667,48.80,40.00,60.00,3000,6,1597,53.23,0,63.20000000000013,10.533333333333355,5,Bots Recharged for WPT: 6
