Run ID,Total Time in Environment,Percentage Searched,Percentage Found,Percentage Not Found,Total Mission Time,Number of Recharges,Time in Backtracking,Percentage Recharging,Min Battery,Max Battery,Average Battery,Dead Bots,WPT Summary
20_10_20_1_10_1_1_5_2_5_0.2_5,3234,23.56,40.00,60.00,3000,2,767,25.57,0,100,28.133333333333383,3,Bots Recharged for WPT: 2
20_10_20_10_10_1_1_5_2_5_0.2_5,2983,25.48,50.00,50.00,3000,3,761,25.37,0,100,28.400000000000016,4,Bots Recharged for WPT: 3
20_10_20_20_10_1_1_5_2_5_0.2_5,4233,26.96,50.00,50.00,3000,5,575,19.17,0,100,58.1678909461823,1,Bots Recharged for WPT: 5
20_10_20_50_10_1_1_5_2_5_0.2_5,3979,23.96,30.00,70.00,3000,4,661,22.03,0,100,50.13333333333338,2,Bots Recharged for WPT: 4
20_10_50_1_10_1_1_5_2_5_0.2_5,2537,24.12,60.00,40.00,3000,4,739,24.63,0,100,50.93333333333337,2,Bots Recharged for WPT: 4
20_10_50_10_10_1_1_5_2_5_0.2_5,2783,25.72,60.00,40.00,3000,3,809,26.97,0,100,32.308708164794936,3,Bots Recharged for WPT: 3
20_10_50_20_10_1_1_5_2_5_0.2_5,4949,22.80,10.00,90.00,3000,3,824,27.47,0,100,36.852344004961616,2,Bots Recharged for WPT: 3
20_10_50_50_10_1_1_5_2_5_0.2_5,3922,25.12,30.00,70.00,3000,4,618,20.60,0,100,46.29061242461853,2,Bots Recharged for WPT: 4
20_20_1_1_10_1_1_5_2_5_0.2_5,4618,24.48,30.00,70.00,3000,5,660,22.00,0,100,43.84121360235472,2,Bots Recharged for WPT: 5
20_20_1_10_10_1_1_5_2_5_0.2_5,4538,21.48,10.00,90.00,3000,4,825,27.50,0,100,43.44485521791066,2,Bots Recharged for WPT: 4
20_20_1_20_10_1_1_5_2_5_0.2_5,5000,27.20,0.00,100.00,3000,3,654,21.80,0,100,26.919203543737694,3,Bots Recharged for WPT: 3
